model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-1.7B-Base,RB,RB,no_cot,25,-0.4908322848219957,0.592408215735285,-0.7460049607669492,-0.25116928910787817
Qwen3-1.7B-Base,RB,RD,no_cot,25,-0.5100141788327268,0.6351658597535321,-0.7397724353549114,-0.2871164893003273
Qwen3-1.7B-Base,RB,RP,with_cot,25,-0.44008444974198935,0.5470083833672106,-0.6987912895052385,-0.2141704783753182
Qwen3-1.7B-Base,RB,RB,with_cot,25,-0.49848400746161736,0.6084920155443251,-0.784304761776235,-0.2278981514268866
Qwen3-1.7B-Base,RB,RD,with_cot,25,-0.5386983394702631,0.613820936411087,-0.7118722280149482,-0.35529993796718895
Qwen3-1.7B-Base,Hybrid,CP,no_cot,25,1.413000388333574,1.413000388333574,1.0773594007209255,1.796806736765724
Qwen3-1.7B-Base,Hybrid,CB,no_cot,25,0.6989214256390309,0.9189895795270181,0.3388964325369258,1.0733021681655277
Qwen3-1.7B-Base,Hybrid,CB-control,no_cot,25,-0.35873938596372795,0.6802012487861018,-0.6674000554218267,-0.04663179911272623
Qwen3-1.7B-Base,Hybrid,CD,no_cot,25,0.8991514699012041,1.0791747312396764,0.4930079151462764,1.3549662206765263
Qwen3-1.7B-Base,Hybrid,CP,with_cot,25,0.8065065625055382,0.845256028447921,0.5234654359453823,1.1521710833796766
Qwen3-1.7B-Base,Hybrid,CB,with_cot,25,0.2608125386978499,0.569848639800679,-0.020735044547294586,0.5699488374797316
Qwen3-1.7B-Base,Hybrid,CB-control,with_cot,25,-0.6359627660525342,0.8457908579123518,-0.9795529849938116,-0.3096042870716815
Qwen3-1.7B-Base,Hybrid,CD,with_cot,25,-0.1258663048769037,0.416309029477338,-0.3427994117008522,0.10804077097897728
Qwen3-1.7B,KB,KP,no_cot,25,-0.5263013878149089,0.571192912879504,-0.775616386850911,-0.31064426544066254
Qwen3-1.7B,KB,KD,no_cot,25,-0.5369392237490165,0.659235692056169,-0.8635567960269188,-0.24432083100041935
Qwen3-1.7B,KB,KB,no_cot,25,0.1160866628667457,0.4712002029642708,-0.14370286610128855,0.4228915885349238
Qwen3-1.7B,KB,KP,with_cot,25,-0.34612916685801387,0.4344892409144562,-0.5117270476314087,-0.1825748595885173
Qwen3-1.7B,KB,KD,with_cot,25,-0.3920375604237246,0.5611159884420899,-0.728998323492559,-0.10748954395522864
