model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen2.5-7B-Instruct,FMT,EVD,bits_per_byte,0.2,0.035732215148083,0.007964876499330531,0.07108637804071405,0.07621583008332533
Qwen/Qwen2.5-7B-Instruct,FMT,EVD,mean_per_item_nll,0.2,0.06561243917281434,0.014459844895221341,0.13076774783229483,0.14027642803202278
Qwen/Qwen2.5-7B-Instruct,FMT,FMT,bits_per_byte,0.2,0.036095536568716,0.010091444294641594,0.018818559377538402,0.02031164653532802
Qwen/Qwen2.5-7B-Instruct,FMT,FMT,mean_per_item_nll,0.2,0.05935767939726011,0.01839781018833664,0.038061864784303845,0.04101910963057809
Qwen/Qwen2.5-7B-Instruct,FMT,PARA,bits_per_byte,0.2,0.0353031577211016,0.004055741965051984,0.06163085140581637,0.06561780817903062
Qwen/Qwen2.5-7B-Instruct,FMT,PARA,mean_per_item_nll,0.2,0.06390600570012639,0.00836650578382514,0.11329235544492056,0.12075560853884282
Qwen/Qwen2.5-7B-Instruct,PARA,ANS,bits_per_byte,0.2,0.0019239058406316234,0.004171742157505376,0.011106364655751877,0.011380708825911912
Qwen/Qwen2.5-7B-Instruct,PARA,ANS,mean_per_item_nll,0.2,0.008334686931853685,0.01807269571561232,0.0481146584212806,0.04930316397159018
Qwen/Qwen2.5-7B-Instruct,PARA,Clean,bits_per_byte,0.2,0.01528511761971929,0.0001195420977868622,0.036734642970089215,0.03771399020691302
Qwen/Qwen2.5-7B-Instruct,PARA,Clean,mean_per_item_nll,0.2,0.028453287947542982,0.00022431887083618207,0.06735814606739954,0.0691598121269359
Qwen/Qwen2.5-7B-Instruct,PARA,EVD,bits_per_byte,0.2,0.01189337613413266,0.0019679311283660184,0.03658433290237406,0.037610793112525354
Qwen/Qwen2.5-7B-Instruct,PARA,EVD,mean_per_item_nll,0.2,0.022541016834983996,0.0031550708341430145,0.06840935333953002,0.07034398210044257
