stage,domain,model,arm,seed,group,metric,value,checkpoint_sha256,source
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,ANS,bpb,1.2575908212503188,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,EVD,gen,0.397,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,EVD,nll,3.758021090231404,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,EVD,bpb,2.0545235450739026,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,PARA,gen,0.48,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,PARA,nll,3.817594470971741,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,PARA,bpb,2.0952489417005293,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,Clean,gen,0.4367,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,Clean,nll,3.058924410369755,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,Clean,bpb,1.672823916489355,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,FMT,gen,0.0416,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,FMT,nll,1.2890390782473808,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,FMT,bpb,0.7578179930813809,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,ANS,gen,0.5181,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,ANS,nll,4.186646576342453,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,ANS,bpb,0.9664086805830423,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,EVD,gen,0.3611,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
